id;name;brand;regular_price;discount_price
89383541;Глазурованный керамогранит Kreaforta Oakland 18.5x59.8 см 1.216 м² матовый цвет коричневый;KREAFORTA;976;
83022781;Глазурованный керамогранит Cersanit Stockholm 18.5x59.8x0.75 см 1.216 м² матовый цвет серый;CERSANIT;886;787
89396419;Глазурованный керамогранит Arcadia Ceramica Pulpis Nero Carving 60x120 см 1.44 м² матовый цвет серый;ARCADIA CERAMICA;2160;1735
89414199;Глазурованный керамогранит Kreaforta Dina 42x42 см 1.587 м² сатинированный цвет белый;KREAFORTA;888;
83022780;Глазурованный керамогранит Cersanit Stockholm 18.5x59.8x0.75 см 1.216 м² матовый цвет бежевый;CERSANIT;934;798
89384201;Глазурованный керамогранит Arcadia Ceramica Onyx White Cloud 60x120 см 1.44 м² глянцевый цвет светло-серый;ARCADIA CERAMICA;1452;
84253871;Глазурованный керамогранит Cersanit Balance 44.8x89.8x0.8 см 1.206 м² матовый цвет серый;CERSANIT;1701;1495
89345085;Глазурованный керамогранит Cersanit Lasvik 17137 18.5x59.8x0.75 см 1.216 м² матовый цвет светло-коричневый рельеф;CERSANIT;1135;997
87747794;Керамогранит Alma Ceramica Angara 60x60x0.9 см 1.8 м² матовый цвет бежевый;ALMA CERAMICA;1586;
89411860;Глазурованная клинкерная плитка Керамин Касл Рок 4 29.8x29.8 см 1.51 м² матовая цвет коричневый;КЕРАМИН;1058;
89415459;Глазурованный керамогранит Grasaro Magnetic 60x60 см матовый 1.8 м²;GRASARO;1490;
84253870;Глазурованный керамогранит Cersanit Balance 44.8x89.8x0.8 см 1.206 м² матовый цвет светло-серый;CERSANIT;1701;1495
18735072;Керамогранит Шахтинская Плитка Авеню 40x40 см 1.6 м² матовый цвет бежевый;ШАХТИНСКАЯ ПЛИТКА;880;
91528822;Керамогранит CULTO White Marble 60x120см 1.44 м² цвет белый, цена за упаковку;CULTO;2423.61;1989.58
89417863;Керамогранит DUNA Ivory Carving цвет бежевый 60x120 1.44 м²;;2058;
89413342;Глазурованный керамогранит Gracia Ceramica Cozy 12.5x50 см 0.875 м² матовый цвет бежевый;GRACIA CERAMICA;1128;958
89419148;Глазурованный керамогранит Gracia Ceramica Marbella 59.4x59.4 см 1.44 м² матовый цвет белый;GRACIA CERAMICA;1462;
91549341;Керамогранит CULTO CEMENTO 60x60см 1.44 м² цвет серый, цена за упаковку;CULTO;1868.06;1659.72
89354195;Глазурованный керамогранит Estima Melody МО104 60x120x1 см 1.44 м² неполированный цвет бежево-белый;ESTIMA;2372;
91633087;Керамогранит Culto Makalu УТ-99903454 30x60см цвет темно-серый, цена за упаковку;CULTO;1729.17;1381.94
91632714;Керамогранит Culto Makalu УТ-99903453 30x60см цвет светло-серый, цена за упаковку;CULTO;1520.83;1381.94
87795394;Керамогранит Grasaro Softmarble 60x60x0.9 см 1.8 м² лаппатированный цвет белый;GRASARO;1555;
89354196;Глазурованный керамогранит Estima Sundeck SU01 60x120x1 см 1.44 м² неполированный цвет бежевый;ESTIMA;2112;
89061377;Глазурованный керамогранит LB Ceramics Джотто 19.9x60.3x0.85 см 0.96 м² матовый цвет светло-коричневый;LB CERAMICS;810;
89340433;Глазурованный керамогранит Grasaro Loft G-1206/MR/600x600x9/S1, 60x60x0.9 см 1.8 м² матовый цвет серый;GRASARO;1537;
89340441;Глазурованный керамогранит Kerama Marazzi Лоди SG648920R 59.5x59.5 см 1.8 м² матовый цвет светло-серый;KERAMA MARAZZI;1647;
89383540;Глазурованный керамогранит Kreaforta Charm 18.5x59.8 см 1.216 м² матовый цвет коричневый;KREAFORTA;1115;
89370421;Глазурованный керамогранит Cersanit Misto 29.8x29.8x0.8 см 1.154 м² матовый цвет серый;CERSANIT;1038;856
89386041;Глазурованный керамогранит Concor Satvario Calacatta 60x60 см 1.44 м² полированный цвет белый мрамор;CONCOR;1741;
84253753;Глазурованный керамогранит Cersanit Spirit 44.8x89.9x0.8 см 1.206 м² матовый цвет коричневые полосы;CERSANIT;1776;1558
